agent_a,agent_b,games,a_win_rate,a_avg_utility,b_avg_utility,a_avg_score,b_avg_score,avg_turns,max_step_games,elapsed_s,games_per_second
random,random,100,0.55,1.27,-1.27,22.79,24.06,8.74,0,0.07965820000390522,1255.3635406662154
expectimax,random,100,0.87,10.37,-10.37,16.98,27.35,12.6,0,554.0097918999963,0.18050222480192352
